PUBLICATION NAME: (elife) AND YEAR PUBLISHED: (2012-2013)
Refined by: DOCUMENT TYPES=( ARTICLE )
Timespan=All years. Indexes=SCI-EXPANDED, SSCI, A&HCI, CPCI-S, CPCI-SSH, BKCI-S, BKCI-SSH, ESCI, CCR-EXPANDED, IC.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"RNA-programmed genome editing in human cells","Jinek, Martin; East, Alexandra; Cheng, Aaron; Lin, Steven; Ma, Enbo; Doudna, Jennifer","","","","ELIFE","JAN 29 2013","2013","2","","","","","","","e00471","10.7554/eLife.00471","","","1152","128.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","68","123","139","189","181","168","140","137","7"
"Sodium taurocholate cotransporting polypeptide is a functional receptor for human hepatitis B and D virus","Yan, Huan; Zhong, Guocai; Xu, Guangwei; He, Wenhui; Jing, Zhiyi; Gao, Zhenchao; Huang, Yi; Qi, Yonghe; Peng, Bo; Wang, Haimin; Fu, Liran; Song, Mei; Chen, Pan; Gao, Wenqing; Ren, Bijie; Sun, Yinyan; Cai, Tao; Feng, Xiaofeng; Sui, Jianhua; Li, Wenhui","","","","ELIFE","NOV 13 2012","2012","1","","","","","","","e00049","10.7554/eLife.00049","","","958","95.80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","36","90","129","145","138","124","153","139","3"
"Expansion of intestinal Prevotella copri correlates with enhanced susceptibility to arthritis","Scher, Jose U.; Sczesnak, Andrew; Longman, Randy S.; Segata, Nicola; Ubeda, Carles; Bielski, Craig; Rostron, Tim; Cerundolo, Vincenzo; Pamer, Eric G.; Abramson, Steven B.; Huttenhower, Curtis; Littman, Dan R.","","","","ELIFE","NOV 5 2013","2013","2","","","","","","","e01202","10.7554/eLife.01202","","","799","88.78","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","44","74","106","113","107","187","162","4"
"Cohabiting family members share microbiota with one another and with their dogs","Song, Se Jin; Lauber, Christian; Costello, Elizabeth K.; Lozupone, Catherine A.; Humphrey, Gregory; Berg-Lyons, Donna; Caporaso, J. Gregory; Knights, Dan; Clemente, Jose C.; Nakielny, Sara; Gordon, Jeffrey I.; Fierer, Noah; Knight, Rob","","","","ELIFE","APR 16 2013","2013","2","","","","","","","e00458","10.7554/eLife.00458","","","453","50.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","21","41","54","79","74","75","95","2"
"Multiple knockout mouse models reveal lincRNAs are required for life and brain development","Sauvageau, Martin; Goff, Loyal A.; Lodato, Simona; Bonev, Boyan; Groff, Abigail F.; Gerhardinger, Chiara; Sanchez-Gomez, Diana B.; Hacisuleyman, Ezgi; Li, Eric; Spence, Matthew; Liapis, Stephen C.; Mallard, William; Morse, Michael; Swerdel, Mavis R.; D'Ecclessis, Michael F.; Moore, Jennifer C.; Lai, Venus; Gong, Guochun; Yancopoulos, George D.; Frendewey, David; Kellis, Manolis; Hart, Ronald P.; Valenzuela, David M.; Arlotta, Paola; Rinn, John L.","","","","ELIFE","DEC 31 2013","2013","2","","","","","","","e01749","10.7554/eLife.01749","","","432","48.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","43","73","86","63","60","55","49","2"
"Evolutionary dynamics of cancer in response to targeted combination therapy","Bozic, Ivana; Reiter, Johannes G.; Allen, Benjamin; Antal, Tibor; Chatterjee, Krishnendu; Shah, Preya; Moon, Yo Sup; Yaqubie, Amin; Kelly, Nicole; Le, Dung T.; Lipson, Evan J.; Chapman, Paul B.; Diaz, Luis A., Jr.; Vogelstein, Bert; Nowak, Martin A.","","","","ELIFE","JUN 25 2013","2013","2","","","","","","","e00747","10.7554/eLife.00747","","","336","37.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","23","60","54","56","46","50","39","2"
"Pharmacological brake-release of mRNA translation enhances cognitive memory","Sidrauski, Carmela; Acosta-Alvear, Diego; Khoutorsky, Arkady; Vedantham, Punitha; Hearn, Brain R.; Li, Han; Gamache, Karine; Gallagher, Ciara M.; Ang, Kenny K-H; Wilson, Chris; Okreglak, Voytek; Ashkenazi, Avi; Hann, Byron; Nader, Karim; Arkin, Michelle R.; Renslo, Adam R.; Sonenberg, Nahum; Walter, Peter","","","","ELIFE","MAY 28 2013","2013","2","","","","","","","e00498","10.7554/eLife.00498","","","289","32.11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","13","32","43","37","45","50","65","1"
"Ribosome structures to near-atomic resolution from thirty thousand cryo-EM particles","Bai, Xiao-chen; Fernandez, Israel S.; McMullan, Greg; Scheres, Sjors H. W.","","","","ELIFE","FEB 19 2013","2013","2","","","","","","","e00461","10.7554/eLife.00461","","","284","31.56","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26","53","63","53","32","27","17","12","1"
"A mammalian pseudogene lncRNA at the interface of inflammation and anti-inflammatory therapeutics","Rapicavoli, Nicole A.; Qu, Kun; Zhang, Jiajing; Mikhail, Megan; Laberge, Remi-Martin; Chang, Howard Y.","","","","ELIFE","JUL 23 2013","2013","2","","","","","","","e00762","10.7554/eLife.00762","","","281","31.22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","28","33","40","50","38","45","44","2"
"KDM2B links the Polycomb Repressive Complex 1 (PRC1) to recognition of CpG islands","Farcas, Anca M.; Blackledge, Neil P.; Sudbery, Ian; Long, Hannah K.; McGouran, Joanna F.; Rose, Nathan R.; Lee, Sheena; Sims, David; Cerase, Andrea; Sheahan, Thomas W.; Koseki, Haruhiko; Brockdorff, Neil; Ponting, Chris P.; Kessler, Benedikt M.; Klose, Robert J.","","","","ELIFE","DEC 18 2012","2012","1","","","","","","","e00205","10.7554/eLife.00205","","","259","25.90","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18","30","36","38","40","35","29","31","2"
