PUBLICATION NAME: (EMBO Journal) AND YEAR PUBLISHED: (2012-2013)
Refined by: DOCUMENT TYPES=( ARTICLE OR REVIEW )
Timespan=All years. Indexes=SCI-EXPANDED, SSCI, A&HCI, CPCI-S, CPCI-SSH, BKCI-S, BKCI-SSH, ESCI, CCR-EXPANDED, IC.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"MEK1 inactivates Myt1 to regulate Golgi membrane fragmentation and mitotic entry in mammalian cells","Villeneuve, Julien; Scarpa, Margherita; Ortega-Bellido, Maria; Malhotra, Vivek","","","","EMBO JOURNAL","JAN 9 2013","2013","32","1","","","","72","85","","10.1038/emboj.2012.329","","","23","2.56","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","5","3","8","0","2","2","0"
"The exomer cargo adaptor structure reveals a novel GTPase-binding domain","Paczkowski, Jon E.; Richardson, Brian C.; Strassner, Amanda M.; Fromme, J. Christopher","","","","EMBO JOURNAL","NOV 5 2012","2012","31","21","","","","4191","4203","","10.1038/emboj.2012.268","","","23","2.30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","5","5","2","3","1","1","0"
"RP58 controls neuron and astrocyte differentiation by downregulating the expression of Id1-4 genes in the developing cortex","Hirai, Shinobu; Miwa, Akiko; Ohtaka-Maruyama, Chiaki; Kasai, Masataka; Okabe, Shigeo; Hata, Yutaka; Okado, Haruo","","","","EMBO JOURNAL","MAR 7 2012","2012","31","5","","","","1190","1202","","10.1038/emboj.2011.486","","","23","2.30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","3","5","1","3","1","2","3","1"
"Tail-anchor targeting by a Get3 tetramer: the structure of an archaeal homologue","Suloway, Christian J. M.; Rome, Michael E.; Clemons, William M., Jr.","","","","EMBO JOURNAL","FEB 1 2012","2012","31","3","","","","707","719","","10.1038/emboj.2011.433","","","23","2.30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","3","4","4","0","2","0","5","1","0"
"DNA-end capping by the budding yeast transcription factor and subtelomeric binding protein Tbf1","Ribaud, Virginie; Ribeyre, Cyril; Damay, Pascal; Shore, David","","","","EMBO JOURNAL","JAN 4 2012","2012","31","1","","","","138","149","","10.1038/emboj.2011.349","","","23","2.30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","4","4","1","4","3","3","2","0","0"
"Structural basis for the nuclear export activity of Importin13","Gruenwald, Marlene; Lazzaretti, Daniela; Bono, Fulvia","","","","EMBO JOURNAL","MAR 20 2013","2013","32","6","","","","899","913","","10.1038/emboj.2013.29","","","22","2.44","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","5","2","4","5","0","0"
"BRG1-mediated immune tolerance: facilitation of Treg activation and partial independence of chromatin remodelling","Chaiyachati, Barbara H.; Jani, Anant; Wan, Yisong; Huang, Haichang; Flavell, Richard; Chi, Tian","","","","EMBO JOURNAL","FEB 6 2013","2013","32","3","","","","395","408","","10.1038/emboj.2012.350","","","22","2.44","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","2","2","1","5","4","5","0"
"Inactivation of Rb in stromal fibroblasts promotes epithelial cell invasion","Pickard, Adam; Cichon, Ann-Christin; Barry, Anna; Kieran, Declan; Patel, Daksha; Hamilton, Peter; Salto-Tellez, Manuel; James, Jacqueline; McCance, Dennis J.","","","","EMBO JOURNAL","JUL 18 2012","2012","31","14","","","","3092","3103","","10.1038/emboj.2012.153","","","22","2.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","5","2","4","2","2","2","0"
"Sumoylation regulates Kap114-mediated nuclear transport","Rothenbusch, Ute; Sawatzki, Marc; Chang, Yiming; Caesar, Stefanie; Schlenstedt, Gabriel","","","","EMBO JOURNAL","MAY 30 2012","2012","31","11","","","","2461","2472","","10.1038/emboj.2012.102","","","22","2.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","6","2","2","2","3","2","2","0"
"Crystal structure of Cwc2 reveals a novel architecture of a multipartite RNA-binding protein","Schmitzova, Jana; Rasche, Nicolas; Dybkov, Olexander; Kramer, Katharina; Fabrizio, Patrizia; Urlaub, Henning; Luehrmann, Reinhard; Pena, Vladimir","","","","EMBO JOURNAL","MAY 2 2012","2012","31","9","","","","2222","2234","","10.1038/emboj.2012.58","","","22","2.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","8","3","2","2","0","0","3","0"
