PUBLICATION NAME: (nature communications) AND YEAR PUBLISHED: (2012-2013)
Timespan=All years. Indexes=SCI-EXPANDED, SSCI, A&HCI, CPCI-S, CPCI-SSH, BKCI-S, BKCI-SSH, ESCI, CCR-EXPANDED, IC.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Interferon-induced transmembrane protein-3 genetic variant rs12252-C is associated with severe influenza in Chinese individuals","Zhang, Yong-Hong; Zhao, Yan; Li, Ning; Peng, Yan-Chun; Giannoulatou, Eleni; Jin, Rong-Hua; Yan, Hui-Ping; Wu, Hao; Liu, Jin-Hua; Liu, Ning; Wang, Da-Yan; Shu, Yue-Long; Ho, Ling-Pei; Kellam, Paul; McMichael, Andrew; Dong, Tao","","","","NATURE COMMUNICATIONS","JAN 2013","2013","4","","","","","","","1418","10.1038/ncomms2433","","","141","15.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","15","18","14","22","19","19","18","1"
"In situ measurement of exciton energy in hybrid singlet-fission solar cells","Ehrler, Bruno; Walker, Brian J.; Boehm, Marcus L.; Wilson, Mark W. B.; Vaynzof, Yana; Friend, Richard H.; Greenham, Neil C.","","","","NATURE COMMUNICATIONS","AUG 2012","2012","3","","","","","","","1019","10.1038/ncomms2012","","","141","14.10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","23","21","30","11","21","10","10","13","0"
"The impact of sleep deprivation on food desire in the human brain","Greer, Stephanie M.; Goldstein, Andrea N.; Walker, Matthew P.","","","","NATURE COMMUNICATIONS","AUG 2013","2013","4","","","","","","","2259","10.1038/ncomms3259","","","140","15.56","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","15","18","20","16","33","22","0"
"Experimental signature of programmable quantum annealing","Boixo, Sergio; Albash, Tameem; Spedalieri, Federico M.; Chancellor, Nicholas; Lidar, Daniel A.","","","","NATURE COMMUNICATIONS","JUN 2013","2013","4","","","","","","","2067","10.1038/ncomms3067","","","140","15.56","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","19","25","20","19","16","25","13","0"
"A versatile source of single photons for quantum information processing","Foertsch, Michael; Fuerst, Josef U.; Wittmann, Christoffer; Strekalov, Dmitry; Aiello, Andrea; Chekhova, Maria V.; Silberhorn, Christine; Leuchs, Gerd; Marquardt, Christoph","","","","NATURE COMMUNICATIONS","MAY 2013","2013","4","","","","","","","1818","10.1038/ncomms2838","","","140","15.56","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","20","25","24","18","13","22","13","0"
"Self-similarity of contact line depinning from textured surfaces","Paxson, Adam T.; Varanasi, Kripa K.","","","","NATURE COMMUNICATIONS","FEB 2013","2013","4","","","","","","","1492","10.1038/ncomms2482","","","140","15.56","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","26","23","23","21","11","17","15","0"
"Multimode circuit optomechanics near the quantum limit","Massel, Francesco; Cho, Sung Un; Pirkkalainen, Juha-Matti; Hakonen, Pertti J.; Heikkila, Tero T.; Sillanpaa, Mika A.","","","","NATURE COMMUNICATIONS","AUG 2012","2012","3","","","","","","","987","10.1038/ncomms1993","","","140","14.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","15","15","18","24","14","20","18","12","1"
"Ultra-low-loss optical delay line on a silicon chip","Lee, Hansuek; Chen, Tong; Li, Jiang; Painter, Oskar; Vahala, Kerry J.","","","","NATURE COMMUNICATIONS","MAY 2012","2012","3","","","","","","","867","10.1038/ncomms1876","","","140","14.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","14","18","17","16","13","27","9","21","1"
"Gene-associated markers provide tools for tackling illegal fishing and false eco-certification","Nielsen, Einar E.; Cariani, Alessia; Mac Aoidh, Eoin; Maes, Gregory E.; Milano, Ilaria; Ogden, Rob; Taylor, Martin; Hemmer-Hansen, Jakob; Babbucci, Massimiliano; Bargelloni, Luca; Bekkevold, Dorte; Diopere, Eveline; Grenfell, Leonie; Helyar, Sarah; Limborg, Morten T.; Martinsohn, Jann T.; McEwing, Ross; Panitz, Frank; Patarnello, Tomaso; Tinti, Fausto; Van Houdt, Jeroen K. J.; Volckaert, Filip A. M.; Waples, Robin S.; Carvalho, Gary R.; Albin, Jan E. J.; Baptista, Juan M. Vieites; Barmintsev, Vladimir; Bautista, Jose M.; Bendixen, Christian; Berge, Jean-Pascal; Blohm, Dietmar; Cardazzo, Barbara; Diez, Amalia; Espinera, Montserrat; Geffen, Audrey J.; Gonzalez, Elena; Gonzalez-Lavin, Nerea; Guarniero, Ilaria; Jerome, Marc; Kochzius, Marc; Krey, Grigorius; Mouchel, Olivier; Negrisolo, Enrico; Piccinetti, Corrado; Puyet, Antonio; Rastorguev, Sergey; Smith, Jane P.; Trentini, Massimo; Verrez-Bagnis, Veronique; Volkov, Alexander; Zanzi, Antonella","FishPopTrace Consortium","","","NATURE COMMUNICATIONS","MAY 2012","2012","3","","","","","","","851","10.1038/ncomms1845","","","140","14.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","11","18","21","29","12","14","22","10","0"
"Melanoma induction by ultraviolet A but not ultraviolet B radiation requires melanin pigment","Noonan, Frances P.; Zaidi, M. Raza; Wolnicka-Glubisz, Agnieszka; Anver, Miriam R.; Bahn, Jesse; Wielgus, Albert; Cadet, Jean; Douki, Thierry; Mouret, Stephane; Tucker, Margaret A.; Popratiloff, Anastas; Merlino, Glenn; De Fabo, Edward C.","","","","NATURE COMMUNICATIONS","JUN 2012","2012","3","","","","","","","884","10.1038/ncomms1893","","","139","13.90","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","7","12","22","16","18","23","18","16","1"
"Mechanical adaptability of the Bouligand-type structure in natural dermal armour","Zimmermann, Elizabeth A.; Gludovatz, Bernd; Schaible, Eric; Dave, Neil K. N.; Yang, Wen; Meyers, Marc A.; Ritchie, Robert O.","","","","NATURE COMMUNICATIONS","OCT 2013","2013","4","","","","","","","2634","10.1038/ncomms3634","","","138","15.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","16","15","19","19","25","35","2"
"The interplay between apparent viscosity and wettability in nanoconfined water","Ortiz-Young, Deborah; Chiu, Hsiang-Chih; Kim, Suenne; Voitchovsky, Kislon; Riedo, Elisa","","","","NATURE COMMUNICATIONS","SEP 2013","2013","4","","","","","","","2482","10.1038/ncomms3482","","","138","15.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","10","20","14","24","25","27","1"
"The carotid body as a putative therapeutic target for the treatment of neurogenic hypertension","McBryde, Fiona D.; Abdala, Ana P.; Hendy, Emma B.; Pijacka, Wioletta; Marvar, Paul; Moraes, Davi J. A.; Sobotka, Paul A.; Paton, Julian F. R.","","","","NATURE COMMUNICATIONS","SEP 2013","2013","4","","","","","","","2395","10.1038/ncomms3395","","","138","15.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26","18","21","21","20","12","19","1"
"Turbulence drives microscale patches of motile phytoplankton","Durham, William M.; Climent, Eric; Barry, Michael; De Lillo, Filippo; Boffetta, Guido; Cencini, Massimo; Stocker, Roman","","","","NATURE COMMUNICATIONS","JUL 2013","2013","4","","","","","","","2148","10.1038/ncomms3148","","","138","15.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","13","17","21","22","23","21","20","0"
"Giant regular polyhedra from calixarene carboxylates and uranyl","Pasquale, Sara; Sattin, Sara; Escudero-Adan, Eduardo C.; Martinez-Belmonte, Marta; de Mendoza, Javier","","","","NATURE COMMUNICATIONS","APR 2012","2012","3","","","","","","","785","10.1038/ncomms1793","","","138","13.80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","19","17","25","13","13","13","18","17","1"
"Increases in terrestrially derived carbon stimulate organic carbon processing and CO2 emissions in boreal aquatic ecosystems","Lapierre, Jean-Francois; Guillemette, Francois; Berggren, Martin; del Giorgio, Paul A.","","","","NATURE COMMUNICATIONS","DEC 2013","2013","4","","","","","","","2972","10.1038/ncomms3972","","","137","15.22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","16","13","26","20","26","29","1"
"Molecular actuators driven by cooperative spin-state switching","Shepherd, Helena J.; Gural'skiy, Il'ya A.; Quintero, Carlos M.; Tricard, Simon; Salmon, Lionel; Molnar, Gabor; Bousseksou, Azzedine","","","","NATURE COMMUNICATIONS","OCT 2013","2013","4","","","","","","","3607","10.1038/ncomms3607","","","137","15.22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","20","22","15","28","22","23","0"
"Electrostatic charging of jumping droplets","Miljkovic, Nenad; Preston, Daniel J.; Enright, Ryan; Wang, Evelyn N.","","","","NATURE COMMUNICATIONS","SEP 2013","2013","4","","","","","","","2517","10.1038/ncomms3517","","","137","15.22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","9","12","23","23","19","27","22","1"
"Plasmon-mediated magneto-optical transparency","Belotelov, V. I.; Kreilkamp, L. E.; Akimov, I. A.; Kalish, A. N.; Bykov, D. A.; Kasture, S.; Yallapragada, V. J.; Gopal, Achanta Venu; Grishin, A. M.; Khartsev, S. I.; Nur-E-Alam, M.; Vasiliev, M.; Doskolovich, L. L.; Yakovlev, D. R.; Alameh, K.; Zvezdin, A. K.; Bayer, M.","","","","NATURE COMMUNICATIONS","JUL 2013","2013","4","","","","","","","2128","10.1038/ncomms3128","","","137","15.22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","24","26","17","13","18","18","18","1"
"Truly work-like work extraction via a single-shot analysis","Aberg, Johan","","","","NATURE COMMUNICATIONS","JUN 2013","2013","4","","","","","","","1925","10.1038/ncomms2712","","","137","15.22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","9","18","23","25","21","20","17","0"
"Monodisperse silicon nanocavities and photonic crystals with magnetic response in the optical region","Shi, Lei; Harris, Justin T.; Fenollosa, Roberto; Rodriguez, Isabelle; Lu, Xiaotang; Korgel, Brian A.; Meseguer, Francisco","","","","NATURE COMMUNICATIONS","MAY 2013","2013","4","","","","","","","1904","10.1038/ncomms2934","","","137","15.22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","16","18","25","28","14","20","13","0"
"In silico method for modelling metabolism and gene product expression at genome scale","Lerman, Joshua A.; Hyduke, Daniel R.; Latif, Haythem; Portnoy, Vasiliy A.; Lewis, Nathan E.; Orth, Jeffrey D.; Schrimpe-Rutledge, Alexandra C.; Smith, Richard D.; Adkins, Joshua N.; Zengler, Karsten; Palsson, Bernhard O.","","","","NATURE COMMUNICATIONS","JUL 2012","2012","3","","","","","","","929","10.1038/ncomms1928","","","137","13.70","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","19","15","24","19","15","14","16","13","1"
"Real-time influenza forecasts during the 2012-2013 season","Shaman, Jeffrey; Karspeck, Alicia; Yang, Wan; Tamerius, James; Lipsitch, Marc","","","","NATURE COMMUNICATIONS","DEC 2013","2013","4","","","","","","","","10.1038/ncomms3837","","","136","15.11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","12","21","26","22","25","23","0"
"Mitochondrial calcium uniporter Mcu controls excitotoxicity and is transcriptionally repressed by neuroprotective nuclear calcium signals","Qiu, Jing; Tan, Yan-Wei; Hagenston, Anna M.; Martel, Marc-Andre; Kneisel, Niclas; Skehel, Paul A.; Wyllie, David J. A.; Bading, Hilmar; Hardingham, Giles E.","","","","NATURE COMMUNICATIONS","JUN 2013","2013","4","","","","","","","2034","10.1038/ncomms3034","","","136","15.11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","11","20","17","27","16","14","25","1"
"Electronic signature of the instantaneous asymmetry in the first coordination shell of liquid water","Kuehne, Thomas D.; Khaliullin, Rustam Z.","","","","NATURE COMMUNICATIONS","FEB 2013","2013","4","","","","","","","1450","10.1038/ncomms2459","","","136","15.11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19","20","24","20","13","14","15","11","0"
"The evolution and pathogenic mechanisms of the rice sheath blight pathogen","Zheng, Aiping; Lin, Runmao; Zhang, Danhua; Qin, Peigang; Xu, Lizhi; Ai, Peng; Ding, Lei; Wang, Yanran; Chen, Yao; Liu, Yao; Sun, Zhigang; Feng, Haitao; Liang, Xiaoxing; Fu, Rongtao; Tang, Changqing; Li, Qiao; Zhang, Jing; Xie, Zelin; Deng, Qiming; Li, Shuangcheng; Wang, Shiquan; Zhu, Jun; Wang, Lingxia; Liu, Huainian; Li, Ping","","","","NATURE COMMUNICATIONS","JAN 2013","2013","4","","","","","","","1424","10.1038/ncomms2427","","","136","15.11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","14","17","17","18","19","21","24","2"
"Continuous variable quantum key distribution with modulated entangled states","Madsen, Lars S.; Usenko, Vladyslav C.; Lassen, Mikael; Filip, Radim; Andersen, Ulrik L.","","","","NATURE COMMUNICATIONS","SEP 2012","2012","3","","","","","","","1083","10.1038/ncomms2097","","","136","13.60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","11","14","17","19","17","20","22","15","0"
"Reliable detection of subclonal single-nucleotide variants in tumour cell populations","Gerstung, Moritz; Beisel, Christian; Rechsteiner, Markus; Wild, Peter; Schraml, Peter; Moch, Holger; Beerenwinkel, Niko","","","","NATURE COMMUNICATIONS","MAY 2012","2012","3","","","","","","","811","10.1038/ncomms1814","","","136","13.60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","14","11","15","13","23","19","19","17","1"
"Single-photon-level quantum image memory based on cold atomic ensembles","Ding, Dong-Sheng; Zhou, Zhi-Yuan; Shi, Bao-Sen; Guo, Guang-Can","","","","NATURE COMMUNICATIONS","OCT 2013","2013","4","","","","","","","2527","10.1038/ncomms3527","","","135","15.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","31","15","20","18","24","12","2"
