PUBLICATION NAME: (plos biology) AND YEAR PUBLISHED: (2012-2013)
Refined by: DOCUMENT TYPES=( ARTICLE )
Timespan=All years. Indexes=SCI-EXPANDED, SSCI, A&HCI, CPCI-S, CPCI-SSH, BKCI-S, BKCI-SSH, ESCI, CCR-EXPANDED, IC.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Rare Species Support Vulnerable Functions in High-Diversity Ecosystems","Mouillot, David; Bellwood, David R.; Baraloto, Christopher; Chave, Jerome; Galzin, Rene; Harmelin-Vivien, Mireille; Kulbicki, Michel; Lavergne, Sebastien; Lavorel, Sandra; Mouquet, Nicolas; Paine, C. E. Timothy; Renaud, Julien; Thuiller, Wilfried","","","","PLOS BIOLOGY","MAY 2013","2013","11","5","","","","","","e1001569","10.1371/journal.pbio.1001569","","","385","42.78","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","31","44","60","61","48","69","65","4"
"Structural and Functional Loss in Restored Wetland Ecosystems","Moreno-Mateos, David; Power, Mary E.; Comin, Francisco A.; Yockteng, Roxana","","","","PLOS BIOLOGY","JAN 2012","2012","10","1","","","","","","e1001247","10.1371/journal.pbio.1001247","","","383","38.30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","29","37","31","41","65","44","63","61","4"
"Genome-Wide Analysis of the World's Sheep Breeds Reveals High Levels of Historic Mixture and Strong Recent Selection","Kijas, James W.; Lenstra, Johannes A.; Hayes, Ben; Boitard, Simon; Neto, Laercio R. Porto; San Cristobal, Magali; Servin, Bertrand; McCulloch, Russell; Whan, Vicki; Gietzen, Kimberly; Paiva, Samuel; Barendse, William; Ciani, Elena; Raadsma, Herman; McEwan, John; Dalrymple, Brian","Int Sheep Genomics Consortium","","","PLOS BIOLOGY","FEB 2012","2012","10","2","","","","","","e1001258","10.1371/journal.pbio.1001258","","","382","38.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","36","55","48","38","51","47","50","44","4"
"Neurotransmitter-Triggered Transfer of Exosomes Mediates Oligodendrocyte-Neuron Communication","Fruehbeis, Carsten; Froehlich, Dominik; Kuo, Wen Ping; Amphornrat, Jesa; Thilemann, Sebastian; Saab, Aiman S.; Kirchhoff, Frank; Moebius, Wiebke; Goebbels, Sandra; Nave, Klaus-Armin; Schneider, Anja; Simons, Mikael; Klugmann, Matthias; Trotter, Jacqueline; Kraemer-Albers, Eva-Maria","","","","PLOS BIOLOGY","JUL 2013","2013","11","7","","","","","","e1001604","10.1371/journal.pbio.1001604","","","364","40.44","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","45","34","41","44","66","49","73","6"
"Mom Knows Best: The Universality of Maternal Microbial Transmission","Funkhouser, Lisa J.; Bordenstein, Seth R.","","","","PLOS BIOLOGY","AUG 2013","2013","11","8","","","","","","e1001631","10.1371/journal.pbio.1001631","","","363","40.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","36","56","56","54","50","54","55","2"
"CBOL Protist Working Group: Barcoding Eukaryotic Richness beyond the Animal, Plant, and Fungal Kingdoms","Pawlowski, Jan; Audic, Stephane; Adl, Sina; Bass, David; Belbahri, Lassaad; Berney, Cedric; Bowser, Samuel S.; Cepicka, Ivan; Decelle, Johan; Dunthorn, Micah; Fiore-Donno, Anna Maria; Gile, Gillian H.; Holzmann, Maria; Jahn, Regine; Jirku, Miloslav; Keeling, Patrick J.; Kostka, Martin; Kudryavtsev, Alexander; Lara, Enrique; Lukes, Julius; Mann, David G.; Mitchell, Edward A. D.; Nitsche, Frank; Romeralo, Maria; Saunders, Gary W.; Simpson, Alastair G. B.; Smirnov, Alexey V.; Spouge, John L.; Stern, Rowena F.; Stoeck, Thorsten; Zimmermann, Jonas; Schindel, David; de Vargas, Colomban","","","","PLOS BIOLOGY","NOV 2012","2012","10","11","","","","","","e1001419","10.1371/journal.pbio.1001419","","","295","29.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","31","45","41","37","45","46","33","1"
"Reconstructing Speech from Human Auditory Cortex","Pasley, Brian N.; David, Stephen V.; Mesgarani, Nima; Flinker, Adeen; Shamma, Shihab A.; Crone, Nathan E.; Knight, Robert T.; Chang, Edward F.","","","","PLOS BIOLOGY","JAN 2012","2012","10","1","","","","","","e1001251","10.1371/journal.pbio.1001251","","","289","28.90","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","30","37","36","36","44","30","36","27","1"
"Rapid Evolution of Enormous, Multichromosomal Genomes in Flowering Plant Mitochondria with Exceptionally High Mutation Rates","Sloan, Daniel B.; Alverson, Andrew J.; Chuckalovcak, John P.; Wu, Martin; McCauley, David E.; Palmer, Jeffrey D.; Taylor, Douglas R.","","","","PLOS BIOLOGY","JAN 2012","2012","10","1","","","","","","e1001241","10.1371/journal.pbio.1001241","","","268","26.80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","22","32","28","31","30","35","45","31","1"
"Speech Rhythms and Multiplexed Oscillatory Sensory Coding in the Human Brain","Gross, Joachim; Hoogenboom, Nienke; Thut, Gregor; Schyns, Philippe; Panzeri, Stefano; Belin, Pascal; Garrod, Simon","","","","PLOS BIOLOGY","DEC 2013","2013","11","12","","","","","","e1001752","10.1371/journal.pbio.1001752","","","228","25.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","30","32","33","40","39","45","2"
"Astrocytes Mediate In Vivo Cholinergic-Induced Synaptic Plasticity","Navarrete, Marta; Perea, Gertrudis; Fernandez de Sevilla, David; Gomez-Gonzalo, Marta; Nunez, Angel; Martin, Eduardo D.; Araque, Alfonso","","","","PLOS BIOLOGY","FEB 2012","2012","10","2","","","","","","e1001259","10.1371/journal.pbio.1001259","","","222","22.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","28","37","29","29","25","22","19","19","0"
"Strigolactone Can Promote or Inhibit Shoot Branching by Triggering Rapid Depletion of the Auxin Efflux Protein PIN1 from the Plasma Membrane","Shinohara, Naoki; Taylor, Catherine; Leyser, Ottoline","","","","PLOS BIOLOGY","JAN 2013","2013","11","1","","","","","","e1001474","10.1371/journal.pbio.1001474","","","219","24.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","34","40","24","23","19","35","27","2"
"Species Interactions Alter Evolutionary Responses to a Novel Environment","Lawrence, Diane; Fiegna, Francesca; Behrends, Volker; Bundy, Jacob G.; Phillimore, Albert B.; Bell, Thomas; Barraclough, Timothy G.","","","","PLOS BIOLOGY","MAY 2012","2012","10","5","","","","","","e1001330","10.1371/journal.pbio.1001330","","","192","19.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","15","16","20","27","19","26","29","35","0"
"Bet Hedging in Yeast by Heterogeneous, Age-Correlated Expression of a Stress Protectant","Levy, Sasha F.; Ziv, Naomi; Siegal, Mark L.","","","","PLOS BIOLOGY","MAY 2012","2012","10","5","","","","","","e1001325","10.1371/journal.pbio.1001325","","","185","18.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","21","28","29","22","28","23","12","19","0"
