PUBLICATION NAME: (plos genetics) AND YEAR PUBLISHED: (2012-2013)
Refined by: DOCUMENT TYPES=( ARTICLE OR REVIEW )
Timespan=All years. Indexes=SCI-EXPANDED, SSCI, A&HCI, CPCI-S, CPCI-SSH, BKCI-S, BKCI-SSH, ESCI, CCR-EXPANDED, IC.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Cell-Type Specific Features of Circular RNA Expression","Salzman, Julia; Chen, Raymond E.; Olsen, Mari N.; Wang, Peter L.; Brown, Patrick O.","","","","PLOS GENETICS","SEP 2013","2013","9","9","","","","","","e1003777","10.1371/journal.pgen.1003777","","","880","97.78","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","43","67","119","158","210","260","9"
"Inference of Population Splits and Mixtures from Genome-Wide Allele Frequency Data","Pickrell, Joseph K.; Pritchard, Jonathan K.","","","","PLOS GENETICS","NOV 2012","2012","8","11","","","","","","e1002967","10.1371/journal.pgen.1002967","","","774","77.40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","48","59","98","101","148","139","161","5"
"Detecting Individual Sites Subject to Episodic Diversifying Selection","Murrell, Ben; Wertheim, Joel O.; Moola, Sasha; Weighill, Thomas; Scheffler, Konrad; Pond, Sergei L. Kosakovsky","","","","PLOS GENETICS","JUL 2012","2012","8","7","","","","","","e1002764","10.1371/journal.pgen.1002764","","","697","69.70","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","50","75","91","75","85","82","113","116","3"
"Power and Predictive Accuracy of Polygenic Risk Scores","Dudbridge, Frank","","","","PLOS GENETICS","MAR 2013","2013","9","3","","","","","","e1003348","10.1371/journal.pgen.1003348","","","649","72.11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","30","54","83","94","122","137","116","6"
"Robust Demographic Inference from Genomic and SNP Data","Excoffier, Laurent; Dupanloup, Isabelle; Huerta-Sanchez, Emilia; Sousa, Vitor C.; Foll, Matthieu","","","","PLOS GENETICS","OCT 2013","2013","9","10","","","","","","e1003905","10.1371/journal.pgen.1003905","","","523","58.11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","33","70","95","98","96","110","4"
"Genic Intolerance to Functional Variation and the Interpretation of Personal Genomes","Petrovski, Slave; Wang, Quanli; Heinzen, Erin L.; Allen, Andrew S.; Goldstein, David B.","","","","PLOS GENETICS","AUG 2013","2013","9","8","","","","","","e1003709","10.1371/journal.pgen.1003709","","","517","57.44","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","37","91","91","81","68","80","64","4"
"Long Noncoding RNA MALAT1 Controls Cell Cycle Progression by Regulating the Expression of Oncogenic Transcription Factor B-MYB","Tripathi, Vidisha; Shen, Zhen; Chakraborty, Arindam; Giri, Sumanprava; Freier, Susan M.; Wu, Xiaolin; Zhang, Yongqing; Gorospe, Myriam; Prasanth, Supriya G.; Lal, Ashish; Prasanth, Kannanganattu V.","","","","PLOS GENETICS","MAR 2013","2013","9","3","","","","","","e1003368","10.1371/journal.pgen.1003368","","","445","49.44","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","50","57","83","65","72","56","53","0"
"Inference of Population Structure using Dense Haplotype Data","Lawson, Daniel John; Hellenthal, Garrett; Myers, Simon; Falush, Daniel","","","","PLOS GENETICS","JAN 2012","2012","8","1","","","","","","e1002453","10.1371/journal.pgen.1002453","","","411","41.10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","15","28","37","55","49","60","82","73","2"
"Switchgrass Genomic Diversity, Ploidy, and Evolution: Novel Insights from a Network-Based SNP Discovery Protocol","Lu, Fei; Lipka, Alexander E.; Glaubitz, Jeff; Elshire, Rob; Cherney, Jerome H.; Casler, Michael D.; Buckler, Edward S.; Costich, Denise E.","","","","PLOS GENETICS","JAN 2013","2013","9","1","","","","","","e1003215","10.1371/journal.pgen.1003215","","","410","45.56","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","44","54","73","64","72","49","43","3"
"Pervasive Transcription of the Human Genome Produces Thousands of Previously Unidentified Long Intergenic Noncoding RNAs","Hangauer, Matthew J.; Vaughn, Ian W.; McManus, Michael T.","","","","PLOS GENETICS","JUN 2013","2013","9","6","","","","","","e1003569","10.1371/journal.pgen.1003569","","","392","43.56","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","41","51","73","64","49","53","52","0"
"Comprehensive Research Synopsis and Systematic Meta-Analyses in Parkinson's Disease Genetics: The PDGene Database","Lill, Christina M.; Roehr, Johannes T.; McQueen, Matthew B.; Kavvoura, Fotini K.; Bagade, Sachin; Schjeide, Brit-Maren M.; Schjeide, Leif M.; Meissner, Esther; Zauft, Ute; Allen, Nicole C.; Liu, Tian; Schilling, Marcel; Anderson, Kari J.; Beecham, Gary; Berg, Daniela; Biernacka, Joanna M.; Brice, Alexis; DeStefano, Anita L.; Do, Chuong B.; Eriksson, Nicholas; Factor, Stewart A.; Farrer, Matthew J.; Foroud, Tatiana; Gasser, Thomas; Hamza, Taye; Hardy, John A.; Heutink, Peter; Hill-Burns, Erin M.; Klein, Christine; Latourelle, Jeanne C.; Maraganore, Demetrius M.; Martin, Eden R.; Martinez, Maria; Myers, Richard H.; Nalls, Michael A.; Pankratz, Nathan; Payami, Haydeh; Satake, Wataru; Scott, William K.; Sharma, Manu; Singleton, Andrew B.; Stefansson, Kari; Toda, Tatsushi; Tung, Joyce Y.; Vance, Jeffery; Wood, Nick W.; Zabetian, Cyrus P.; Young, Peter; Tanzi, Rudolph E.; Khoury, Muin J.; Zipp, Frauke; Lehrach, Hans; Ioannidis, John P. A.; Bertram, Lars","Genetic Epidemiology Parkinson's; IPDGC; Parkinson's Dis GWAS Consortium; WTCCC2","","","PLOS GENETICS","MAR 2012","2012","8","3","","","","","","e1002548","10.1371/journal.pgen.1002548","","","373","37.30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22","61","54","56","49","46","36","24","23","2"
"Epigenome-Wide Scans Identify Differentially Methylated Regions for Age and Age-Related Phenotypes in a Healthy Ageing Population","Bell, Jordana T.; Tsai, Pei-Chien; Yang, Tsun-Po; Pidsley, Ruth; Nisbet, James; Glass, Daniel; Mangino, Massimo; Zhai, Guangju; Zhang, Feng; Valdes, Ana; Shin, So-Youn; Dempster, Emma L.; Murray, Robin M.; Grundberg, Elin; Hedman, Asa K.; Nica, Alexandra; Small, Kerrin S.; Dermitzakis, Emmanouil T.; McCarthy, Mark I.; Mill, Jonathan; Spector, Tim D.; Deloukas, Panos","MuTHER Consortium","","","PLOS GENETICS","APR 2012","2012","8","4","","","","189","200","e1002629","10.1371/journal.pgen.1002629","","","367","36.70","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","39","57","60","64","50","45","23","12","1"
