PUBLICATION NAME: (science) AND YEAR PUBLISHED: (2012-2013)
Refined by: DOCUMENT TYPES=( REVIEW OR ARTICLE )
Timespan=All years. Indexes=SCI-EXPANDED, SSCI, A&HCI, CPCI-S, CPCI-SSH, BKCI-S, BKCI-SSH, ESCI, CCR-EXPANDED, IC.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Multiplex Genome Engineering Using CRISPR/Cas Systems","Cong, Le; Ran, F. Ann; Cox, David; Lin, Shuailiang; Barretto, Robert; Habib, Naomi; Hsu, Patrick D.; Wu, Xuebing; Jiang, Wenyan; Marraffini, Luciano A.; Zhang, Feng","","","","SCIENCE","FEB 15 2013","2013","339","6121","","","","819","823","","10.1126/science.1231143","","","7117","790.78","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","194","577","719","1004","1169","1193","1117","1104","40"
"Efficient Hybrid Solar Cells Based on Meso-Superstructured Organometal Halide Perovskites","Lee, Michael M.; Teuscher, Joel; Miyasaka, Tsutomu; Murakami, Takurou N.; Snaith, Henry J.","","","","SCIENCE","NOV 2 2012","2012","338","6107","","","","643","647","","10.1126/science.1228604","","","6660","666.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","102","484","889","1098","1081","1133","961","870","39"
"The Chemistry and Applications of Metal-Organic Frameworks","Furukawa, Hiroyasu; Cordova, Kyle E.; O'Keeffe, Michael; Yaghi, Omar M.","","","","SCIENCE","AUG 30 2013","2013","341","6149","","","","974","+","","10.1126/science.1230444","","","6551","727.89","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","330","543","772","908","1104","1356","1450","79"
"A Programmable Dual-RNA-Guided DNA Endonuclease in Adaptive Bacterial Immunity","Jinek, Martin; Chylinski, Krzysztof; Fonfara, Ines; Hauer, Michael; Doudna, Jennifer A.; Charpentier, Emmanuelle","","","","SCIENCE","AUG 17 2012","2012","337","6096","","","","816","821","","10.1126/science.1225829","","","5894","589.40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","168","373","525","791","933","978","1006","1070","39"
"Electron-Hole Diffusion Lengths Exceeding 1 Micrometer in an Organometal Trihalide Perovskite Absorber","Stranks, Samuel D.; Eperon, Giles E.; Grancini, Giulia; Menelaou, Christopher; Alcocer, Marcelo J. P.; Leijtens, Tomas; Herz, Laura M.; Petrozza, Annamaria; Snaith, Henry J.","","","","SCIENCE","OCT 18 2013","2013","342","6156","","","","341","344","","10.1126/science.1243982","","","5831","647.89","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","296","639","875","982","1031","1044","914","46"
"RNA-Guided Human Genome Engineering via Cas9","Mali, Prashant; Yang, Luhan; Esvelt, Kevin M.; Aach, John; Guell, Marc; DiCarlo, James E.; Norville, Julie E.; Church, George M.","","","","SCIENCE","FEB 15 2013","2013","339","6121","","","","823","826","","10.1126/science.1232033","","","4793","532.56","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","200","534","593","715","740","748","646","595","22"
"Long-Range Balanced Electron- and Hole-Transport Lengths in Organic-Inorganic CH3NH3PbI3","Xing, Guichuan; Mathews, Nripan; Sun, Shuangyong; Lim, Swee Sien; Lam, Yeng Ming; Graetzel, Michael; Mhaisalkar, Subodh; Sum, Tze Chien","","","","SCIENCE","OCT 18 2013","2013","342","6156","","","","344","347","","10.1126/science.1243167","","","4288","476.44","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","265","510","718","737","731","711","582","31"
"High-Resolution Global Maps of 21st-Century Forest Cover Change","Hansen, M. C.; Potapov, P. V.; Moore, R.; Hancher, M.; Turubanova, S. A.; Tyukavina, A.; Thau, D.; Stehman, S. V.; Goetz, S. J.; Loveland, T. R.; Kommareddy, A.; Egorov, A.; Chini, L.; Justice, C. O.; Townshend, J. R. G.","","","","SCIENCE","NOV 15 2013","2013","342","6160","","","","850","853","","10.1126/science.1244693","","","3981","442.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","117","379","523","584","678","809","851","40"
"Cancer Genome Landscapes","Vogelstein, Bert; Papadopoulos, Nickolas; Velculescu, Victor E.; Zhou, Shibin; Diaz, Luis A., Jr.; Kinzler, Kenneth W.","","","","SCIENCE","MAR 29 2013","2013","339","6127","","","","1546","1558","","10.1126/science.1235122","","","3939","437.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","116","406","561","574","655","576","563","475","13"
"Carbon Nanotubes: Present and Future Commercial Applications","De Volder, Michael F. L.; Tawfick, Sameh H.; Baughman, Ray H.; Hart, A. John","","","","SCIENCE","FEB 1 2013","2013","339","6119","","","","535","539","","10.1126/science.1222453","","","3112","345.78","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","61","265","405","475","502","487","515","374","28"
